category,text
politics,"Kennedy to make temple address

Charles Kennedy is set to address 2,000 people at a Hindu temple as part of an appeal to ethnic minority voters.

The Liberal Democrat leader will visit the Shri Swaminarayan Mandir Temple in Neasden, north west London. He will say Labour ""can no longer lay exclusive claim to the votes of Britain's ethnic minorities"". Mr Kennedy will also highlight the anger among people of ""all races"" over the Iraq war and call for a ""balanced approach"" to tackling terrorism. Saturday's speech comes days after the Lib Dems launched their ethnic minority mini-manifesto. Mr Kennedy is to tell the audience: ""Many people in Britain, of all races, cultures and religions, were angry about the way we were taken to war in Iraq. ""And they saw the principled stand the Liberal Democrats took at the time.""

He will also say that the Lib Dems want to ""restore Britain's reputation on the world stage"" by fighting international poverty and climate change, and protecting human rights. Mr Kennedy will say that a ""balanced approach"" to tackling terrorism would mean ""tough measures to make Britain safe - but not at the expense of people's fundamental legal rights like has happened at Belmarsh"". He will say it also means acting through the United Nations on terrorism. Mr Kennedy held talks with Tony Blair on Friday over government plans to hold terror suspects under house arrest. He said afterwards that the Prime Minister had offered some ""movement"" to address his concerns. The plans face trouble in the Lords if Conservative and Lib Dem opposition continues."
politics,"UK plan to deport terror suspects

Deals are being sought to allow the UK to deport terror suspects to their home countries without risk of them being tortured or sentenced to death.

Home Secretary Charles Clarke told the Times he hoped agreement with several countries could be reached. The move follows a Law Lords judgement that the detention of 12 men at Belmarsh prison, London, and Woodhill, Milton Keynes, was unlawful. The 12 affected by the ruling are from Algeria, Tunisia, Egypt and Jordan. The government was told that using anti-terror legislation brought in after 11 September to hold the men indefinitely without charge broke human rights laws.

Mr Clarke told The Times: ""I think we should be prosecuting much more energetically our ability to deport the individuals concerned to the countries from which they come."" He said it was a route that was being pursued in collaboration with Foreign Secretary Jack Straw ""in a very positive way"". Mr Clarke said that he was seeking ""memorandums of understanding"" between overseas governments and Britain to ensure suspects would not be subjected to the death penalty on their return. However, he added: ""I do not think the solution to the Law Lords' judgement for this government is in deportations, but they will help. ""There are other strands that we have to do."" But the Liberal Democrat's shadow home secretary, Mark Oaten, accused Mr Clarke of avoiding the main issue with the Belmarsh detainees.

""The critical issue that the home secretary is dodging at this stage is to deal with the very principle, to deal with how we tackle this problem in the future,"" he told BBC News. ""And I do want him to grasp those issues and that means looking at how we can actually secure convictions in this country allowing, for example, intercept communications, telephone tapping to be included,"" Mr Oaten said. ""Deportation may tackle this initial problem but I want to see a wider debate urgently about how we can actually get trials and convictions in this country."" ""Unless we get that, the Liberal Democrats will vote against this measure when it comes for renewal in March.""

The BBC's home affairs correspondent, Daniel Sandford, said it appeared Mr Clarke was putting more emphasis on the possibility of deportation than his predecessor, David Blunkett. But he said reaching an understanding with some of the detainees' home countries could be difficult. ""Some of these people are accused of very, very serious crimes in their home countries so it's not an easy agreement to get and I think for some of these suspects it won't be the solution."" Daniel Sandford said ministers may try to put forward other solutions - such as allowing more secret evidence to be put into normal criminal trials or developing a more secret trials process - in the next few weeks. ""The government may try and deport some of them and then those that are left see if they can work out some way of putting them on trial,"" he said."
politics,"Lib Dems' 'bold' election policy

Charles Kennedy has told voters his Liberal Democrats will offer them an ""honest choice"" at the next general election.

With the other two big parties battling over which will impose the lowest taxes, Mr Kennedy is going into the looming election pledged to increase taxation. It is a bold policy and certainly ensures there is that choice between the Lib Dems and the other two. With his party's previous pledge to increase taxes by one penny in the pound to spend on public services already adopted by the government, he has switched tack. Now he is promising to levy a ""modest"" increase of the same amount on earnings over £100,000 a year to allow him to finance a series of pledges. They are to scrap student fees, finance free long term care for the elderly and replace the council tax with a local income tax. That last policy will also see about 3% of the most well off paying more while others, pensioners in particular, will pay less.

Labour and the Tories have attacked his policies as both unworkable and not properly costed.

Inevitably they insist there is no need to raise taxes to fund improvements in services. The Tories claim they can improve services AND cut taxes through £35bn efficiency savings, while Labour has offered £22bn savings but has yet to map out precise tax proposals, although there is little chance they will propose increases. In many ways the argument between the Lib Dems and the others over taxation and spending echo the sort of arguments that raged between Labour and the Tories in the 1980s and early 1990s. But, unlike the old Tory-Labour debate, he believes voters are ready to see ""modest"" tax increases on the well off in order to fund improvements in services. That is a view partly endorsed by recent polls suggesting people would rather have cash spent on public services than tax cuts.

Similarly there is a different tone to the Lib Dem approach to asylum and immigration, with Mr Kennedy stressing politicians should not ""foment an artificial debate"" about immigration and attacking Michael Howard's proposals for quotas. Once again, with the two other big parties singing similar songs on immigration, Mr Kennedy is stressing the different, more liberal approach of his party. Mr Kennedy was also in buoyant mood over his party's election chances, declaring the Tories were not going to be ""significant players"" in the poll. He repeated his pledge not to do post-election deals with either party after the election. Mr Kennedy went on to suggest the re-election of a Labour government with a small majority would amount to a ""massive vote of no confidence "" in Tony Blair's government. That suggests the Lib Dem leader believes he may well find himself in a powerful, even pivotal position in a vastly different House of Commons after the next election. It is a dream the third party has dreamed many times before."
politics,"Choose hope over fear - Kennedy

Voters will have a clear choice between the politics of fear and the politics of hope in the next general election, said Charles Kennedy.

In his New Year message the Liberal Democrat leader said Labour and the Conservatives were united in relying on fear and ""populist scares"". He said his party was the one of hope and was ready for a 2005 poll. On the Asian tsunami he said it had been ""very heartening"" to learn of the generosity being shown by Britons. Mr Kennedy said his thoughts were with all those caught up in the disaster, which had dominated the Christmas and New Year period. At home he said many people were turning to the Liberal Democrats as they became disheartened with the politics of the other two main parties.

The general election would be a three-party struggle, as the Conservative party ""fades away"" as a national force and the Liberal Democrats challenge Labour in its heartlands, he said. ""A clear division is emerging in British politics - the politics of fear versus the politics of hope. ""Labour is counting on the politics of fear, ratcheting up talk of threats, crime and insecurity. While the Conservatives are re-working their populist scares about asylum and the European 'menace',"" he said. He said the government was using this climate of fear to try to strip away civil liberties.

It was already using detention without trial at Belmarsh Prison, ignoring a recent Law Lords judgement that this contravenes basic human rights, he said. He also criticised attempts to bring in trial without jury, plans to lower the burden of proof in some criminal trials, curbing of rights to protest, increased stop and search powers and ID card plans. He said while everyone had the right to be secure they also had the right to be protected against unfair discrimination. ""But at the same time, an overmighty state is a dangerous one,"" he said. His party ""instinctively"" understood the ""new liberal Britain"" which is no longer a nation with one family structure, and one colour, he said. ""We are less deferential; more inclined to think for ourselves; more open about sexuality and equality. ""Our national institutions are changing too. We are no longer a nation of one church; we are a nation of many faiths. In our attitudes and the way we live our lives, this is in many ways a liberal Britain."""
politics,"Butler launches attack on Blair

Former civil service chief Lord Butler has criticised the way Tony Blair's government operates, accusing it of being obsessed with headlines.

He also attacked the way the Iraq war was ""sold"" to the public, with important warnings on the strength of the intelligence left out. Tory leader Michael Howard said Lord Butler had given the ""most damaging testimony"" he could remember. But Downing Street said Mr Blair should be judged by results not his style.

Lord Butler said Mr Blair bypassed the Cabinet and relied instead on small, informal groups of advisers to help him make decisions. The prime minister's official spokesman said the Cabinet was still used to achieve a consensus on important issues. But he added: ""You cannot, in a modern government, take every decision in Cabinet. It's just not possible.""

Lord Butler said the government had too much freedom to ""bring in bad Bills"" and ""to do whatever it likes"" and it relied too much on the advice of political appointees. The former cabinet secretary said in an interview with The Spectator magazine: ""I would be critical of the present government in that there is too much emphasis on selling, there is too much central control and there is too little of what I would describe as reasoned deliberation which brings in all the arguments."" Mr Howard described Lord Butler's intervention as ""very important"". ""This is from someone who was an insider at the very heart of the Blair government. ""It is certainly the most damaging testimony I can ever remember from someone in such an eminent position.""

Lord Butler's report earlier this year into Iraq intelligence said the government's September 2002 weapons dossier did not make clear intelligence about claims that Saddam Hussein had stockpiles of chemical and biological weapons was ""very thin"". The reason for this is that it would have weakened ministers' case for war, Lord Butler said in his Spectator interview, which was conducted by the magazine's editor, Conservative MP Boris Johnson. He said: ""When civil servants give material to ministers, they say these are the conclusions we've drawn, but we've got to tell you the evidence we've got is pretty thin. ""Similarly, if you are giving something to the United Nations and the country you should warn them.""

Asked why he thought the warnings were not there Lord Butler said: ""One has got to remember what the purpose of the dossier was. The purpose of the dossier was to persuade the British why the government thought Iraq was a very serious threat.""

When asked whether he thought the country was well-governed on the whole, he replied: ""Well. I think we are a country where we suffer very badly from Parliament not having sufficient control over the executive, and that is a very grave flaw. ""We should be breaking away from the party whip. The executive is much too free to bring in a huge number of extremely bad Bills, a huge amount of regulation and to do whatever it likes - and whatever it likes is what will get the best headlines tomorrow. ""All that is part of what is bad government in this country."" Lord Butler's assessment was backed by his predecessor as Cabinet Secretary, Lord Armstrong. Lord Armstrong told BBC Two's Newsnight: ""I agree ... there doesn't appear to be the sort of informed collective political judgement brought to bear on decision-making that those affected by decisions are entitled to expect."" Liberal Democrat deputy leader Menzies Campbell said he thought Lord Butler's comments were ""well justified"" and Mr Blair's style of leadership was ""corrosive of the whole system of government"". But Labour former minister Jack Cunningham accused Lord Butler of basing his comments on the first eight months of the incoming Labour administration, when he was cabinet secretary. Mr Cunningham told BBC Radio 4's Today programme: ""Taken together, Robin Butler's comments are partial, inaccurate and cannot be taken as anything other than politically biased against the Labour government."""
sport,"Sella wants Michalak recall

Former France centre Philippe Sella believes coach Bernard Laporte must recall Frederic Michalak to give his side any chance of beating Ireland.

Sella admitted he had been impressed by current fly-half Yann Delaigue in the RBS Six Nations to date. But he told BBC Sport: ""Michalak is the answer both now and for the future. Delaigue deserved his chance but the time has come to bring back Michalak. ""He does have weaknesses but has the all-round game to upset Ireland."" The 22-year-old Michalak has spent much of the tournament on the bench after Delaigue impressed for Castres early in the season. With Michalak overlooked, the French stuttered to narrow wins over Scotland and then England before ironically playing their best rugby in the defeat to Wales. ""The Wales game was amazing to watch but never did I think the French could lose that game at half-time,"" said Sella.

""Their only mistakes were that they didn't score enough points in the first half and were a little bit less focused in the second... but only a little bit."" Sella, however, insisted the pressure had eased on the under-fire Laporte, despite the defeat at the Stade de France. ""This season is very important for shaping a team for the 2007 World Cup,"" said Sella, ""which Laporte is doing very well. The French get better every game. ""It's difficult, though, when you change a team and you change your tactics as everything has to gel. ""But he has the players and the talent to take them all the way to World Cup victory. ""As a result, it is important that people give him time. It may not seem good now that we're not winning the Grand Slam but no one will care in two years time if we're world champions.""

The majority of media criticism centred on the way in which France produced a performance devoid of running rugby in their opening two games. But while Sella admitted he liked the more flowing style employed against Wales, he said ""the win was most important"". ""Winning is all that matters,"" he added. ""Ok, the flair may not have been so good, but the discipline, organisation and defence was there, which are all important ahead of 2007."" France play what Sella believes is their hardest game of the Six Nations against Ireland in Dublin on Saturday 12 March. The French go into the game as clear underdogs. But Sella added: ""People forget that France can still win the Six Nations and they'll be focused on that. ""But Ireland will be going for even more in front of their home crowd. It's going to be tough."""
sport,"O'Driscoll saves Irish blushes

Two moments of magic from Brian O'Driscoll guided Ireland to a workmanlike victory against Italy.

A pair of classic outside breaks from the Ireland captain set up tries for Geordan Murphy and Peter Stringer. Italy led 9-8 early in the second half but Stringer's try gave Ireland a lead they never lost. The hosts cut the gap to 18-12 with 10 minutes left and nearly scored through Ludovico Nitoglia, but Denis Hickie's try ensured an Irish victory. Italy came flying out of the blocks and took the lead through a Luciano Orquera penalty after seven minutes.

It could have been better for the hosts but the fly-half missed two kickable penalties and Ireland drew level with a Ronan O'Gara penalty midway through the first half. The Italians were driving at the heart of the Irish defence and, for the first quarter, the Irish pack struggled to secure any ball for their talented backs.

When they finally did, just before the half-hour mark, O'Driscoll promptly created a sparkling try for Murphy. The Ireland captain ran a dummy scissors and made a magical outside break before drawing the full-back and putting the diving Murphy in at the corner. O'Gara missed the twice-taken conversion and the visitors found themselves trailing once again. Roland de Marigny took over the kicking duties for Italy from the hapless Orquera, and he landed a penalty either side of the break to edge Italy into a 9-8 lead.

The only Ireland player offering a real threat was O'Driscoll, and it was his break that set up the second try for the visitors. Shane Horgan threw an overhead pass as he was about to be forced into touch and Stringer scooted over, with O'Gara landing the tricky conversion. A penalty apiece saw Ireland leading 18-12 as the game entered the final quarter, but they were lucky to survive when Italy launched a series of attacks. Winger Nitoglia dropped the ball as he reached for the line and Italy nearly rumbled over from a driving maul.

An O'Gara penalty put Ireland more than a converted try ahead and they made the game safe when Hickie latched onto an inside pass from Murphy and crossed for a converted try. O'Driscoll limped off late on, joining centre partner Gordon D'Arcy on the sidelines, and the final word went to Italy. Prop Martin Castrogiovanni powered over for a try which was fitting reward for an Italian pack which had kept the Irish under pressure throughout.

De Marigny; Mi Bergamasco, Canale, Masi, Nitoglia; Orquera, Troncon; Lo Cicero, Ongaro, Castrogiovanni; Dellape, Bortolami; Persico, Ma Bergamasco, Parisse.

Perugini, Intoppa, Del Fava, Dal Maso, Griffen, Pozzebon, Robertson.

Murphy, Horgan, O'Driscoll, D'Arcy, Hickie, O'Gara, Stringer, Corrigan, Byrne, Hayes, O'Kelly, O'Connell, S Easterby, Leamy, Foley.

Sheahan, Horan, O'Callaghan, Miller, G Easterby, Humphreys, Dempsey.

P O'Brien (New Zealand)"
sport,"Fit-again Betsen in France squad

France have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.

But the player, who missed the victory over Scotland through injury, must attend a disciplinary hearing on Wednesday after being cited by Wasps. ""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte. The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad. The trio have been called up after Pieter de Villiers, Ludovic Valbon and Aurelien Rougerie all picked up injuries in France's 16-9 win on Saturday.

Laporte said he was confident that Betsen would be cleared by the panel investigating his alleged trip that broke Wasps centre Stuart Abbott's leg. ""If he was to be suspended, we would call up Imanol Harinordoquy or Thomas Lievremont,"" said Laporte, who has dropped Patrick Tabacco. ""We missed Serge badly against Scotland. He has now recovered from his thigh injury and played on Saturday with Biarritz."" France's regular back-row combination of Betsen, Harinordoquy and Olivier Magne were all missing from France's side at the weekend because of injury. Laporte is expected to announce France's starting line-up on Wednesday.

Forwards: Nicolas Mas, Sylvain Marconnet, Olivier Milloud, William Servat, Sebastien Bruno, Fabien Pelous, Jerome Thion, Gregory Lamboley, Serge Betsen, Julien Bonnaire, Sebastien Chabal, Yannick Nyanga. Backs: Dimitri Yachvili, Pierre Mignoni, Frederic Michalak, Yann Delaigue, Damien Traille, Brian Liebenberg, Jean-Philippe Grandclaude, Christophe Dominici, Jimmy Marlu, Pepito Elhorga."
sport,"Newry to fight cup exit in courts

Newry City are expected to discuss legal avenues on Friday regarding overturning their ejection from the Nationwide Irish Cup.

The IFA upheld its original decision to throw Newry out of the cup following the Andy Crawford registration row. ''A law firm will put a case forward for Newry FC, and see what the legal implications of all this is are,'' said Newry boss Roy McCreadie. ''This is a big issue, now that we have an appeal pending,'' On Wednesday, a fresh IFA hearing into Crawford registration saga, ruled that last week's original verdict had been correct. It meant that Bangor, beaten 5-1 by Newry on the field, will take on Portadown in the sixth round. Newry had claimed they had uncovered ""fresh evidence"", in respect of the dates relating to the registration. But McCreadie is not further annoyed that full details of Wednesday's meeting was not relayed to the club. ''Even to this day, we have as much information about what happened during the meeting on Wednesday as that told to the media. We are being kept in the dark,'' McCreadie told the

News Letter

. ''We want an explanation. There is no good sending us the same fax message the press people received. ''It's a real sad case. If we are not back in the Irish Cup after our appeal, and guided by our legal advise, we will seek to lodge an injunction in the courts to stop Bangor playing Portadown.''"
sport,"Sprinter Walker quits athletics

Former European 200m champion Dougie Walker is to retire from athletics after a series of six operations left him struggling for fitness.

Walker had hoped to compete in the New Year Sprint which is staged at Musselburgh Racecourse near Edinburgh on Tuesday and Wednesday. The 31-year-old Scot was suspended for two years in 1998 after testing positive for nandrolone. ""I had intended to race but I'm running like a goon,"" said Walker. He told the Herald newspaper: ""I'm not in great shape, after missing about a month of training. ""I missed a big chunk of speed work over about three weeks, and then another week working in America. ""If I'd had a half-decent mark it might have motivated me more, but I won't be racing. ""I still enjoy training, but feel it's time to move on, and concentrate on a career."""
